iter	Passed	Remaining
0	143	143754
1	144	72197
2	145	48357
3	146	36432
4	147	29273
5	147	24500
6	148	21095
7	149	18534
8	150	16550
9	151	14968
10	151	13660
11	152	12593
12	153	11677
13	154	10892
14	155	10235
15	156	9636
16	157	9102
17	158	8629
18	159	8210
19	159	7836
20	161	7508
21	161	7195
22	162	6908
23	163	6643
24	164	6403
25	165	6184
26	165	5979
27	167	5798
28	167	5617
29	168	5453
30	169	5296
31	170	5151
32	171	5017
33	172	4892
34	173	4771
35	173	4654
36	174	4541
37	175	4442
38	176	4345
39	177	4256
40	178	4171
41	179	4084
42	179	4001
43	180	3927
44	181	3855
45	182	3787
46	183	3725
47	184	3662
48	185	3599
49	186	3540
50	187	3484
51	188	3430
52	189	3380
53	189	3328
54	190	3276
55	191	3228
56	192	3181
57	192	3133
58	194	3096
59	195	3055
60	195	3013
61	196	2972
62	197	2936
63	198	2903
64	199	2868
65	200	2834
66	201	2800
67	202	2769
68	202	2738
69	203	2709
70	204	2680
71	205	2652
72	206	2625
73	207	2598
74	208	2573
75	209	2547
76	210	2523
77	211	2500
78	212	2476
79	213	2452
80	214	2429
81	215	2409
82	216	2389
83	217	2369
84	218	2348
85	219	2328
86	220	2310
87	221	2292
88	222	2273
89	223	2257
90	224	2239
91	225	2221
92	226	2204
93	227	2190
94	228	2174
95	229	2159
96	230	2143
97	231	2128
98	232	2113
99	233	2098
100	233	2082
101	235	2070
102	236	2056
103	237	2042
104	238	2029
105	239	2016
106	240	2005
107	241	1992
108	242	1979
109	243	1967
110	244	1957
111	245	1946
112	246	1935
113	247	1923
114	248	1911
115	249	1900
116	250	1890
117	251	1879
118	252	1869
119	253	1858
120	254	1848
121	255	1839
122	256	1828
123	257	1818
124	258	1808
125	259	1798
126	260	1788
127	261	1780
128	262	1771
129	263	1762
130	264	1753
131	265	1743
132	266	1734
133	267	1728
134	268	1719
135	269	1711
136	270	1702
137	271	1694
138	272	1686
139	273	1678
140	274	1671
141	275	1664
142	276	1656
143	277	1648
144	278	1642
145	279	1634
146	280	1627
147	281	1620
148	282	1612
149	283	1605
150	284	1599
151	285	1593
152	286	1585
153	287	1578
154	288	1573
155	289	1567
156	290	1560
157	291	1554
158	292	1548
159	293	1541
160	294	1535
161	295	1529
162	296	1523
163	297	1518
164	298	1512
165	300	1507
166	301	1501
167	301	1495
168	303	1490
169	303	1483
170	304	1478
171	305	1472
172	306	1467
173	307	1461
174	308	1455
175	309	1451
176	311	1447
177	312	1442
178	313	1437
179	314	1433
180	315	1427
181	316	1423
182	317	1418
183	318	1414
184	319	1409
185	320	1404
186	321	1398
187	322	1394
188	323	1389
189	324	1384
190	325	1378
191	326	1373
192	327	1368
193	328	1364
194	329	1359
195	330	1356
196	331	1351
197	332	1346
198	333	1342
199	334	1337
200	335	1333
201	336	1329
202	337	1324
203	338	1319
204	339	1315
205	340	1312
206	341	1307
207	342	1303
208	343	1299
209	344	1294
210	345	1291
211	346	1287
212	347	1283
213	348	1279
214	349	1275
215	350	1271
216	351	1267
217	352	1264
218	353	1260
219	354	1256
220	355	1252
221	356	1248
222	357	1245
223	358	1241
224	359	1238
225	360	1234
226	361	1230
227	362	1228
228	363	1225
229	364	1221
230	365	1218
231	366	1214
232	367	1211
233	368	1207
234	369	1204
235	371	1201
236	372	1197
237	373	1194
238	374	1191
239	375	1187
240	376	1185
241	377	1182
242	378	1178
243	379	1177
244	381	1176
245	383	1175
246	384	1173
247	386	1172
248	388	1170
249	404	1214
250	406	1212
251	407	1209
252	408	1207
253	410	1204
254	411	1202
255	412	1199
256	413	1196
257	414	1192
258	415	1189
259	416	1186
260	417	1183
261	418	1180
262	419	1176
263	421	1173
264	422	1170
265	423	1167
266	424	1164
267	425	1161
268	426	1158
269	427	1155
270	428	1152
271	429	1149
272	430	1145
273	431	1142
274	432	1139
275	433	1136
276	434	1133
277	435	1130
278	436	1127
279	437	1124
280	438	1121
281	439	1118
282	440	1115
283	441	1112
284	442	1109
285	443	1106
286	444	1103
287	445	1101
288	446	1098
289	447	1095
290	448	1092
291	449	1089
292	450	1086
293	451	1083
294	452	1080
295	453	1078
296	454	1075
297	455	1072
298	456	1070
299	457	1067
300	458	1064
301	459	1061
302	460	1058
303	461	1055
304	462	1053
305	463	1050
306	464	1047
307	465	1045
308	466	1043
309	467	1041
310	468	1038
311	469	1035
312	470	1032
313	471	1030
314	472	1027
315	473	1025
316	474	1022
317	475	1020
318	476	1017
319	477	1015
320	478	1012
321	480	1010
322	480	1007
323	481	1005
324	482	1002
325	483	999
326	484	998
327	485	995
328	486	992
329	488	990
330	488	988
331	489	985
332	490	983
333	492	981
334	493	978
335	494	976
336	495	974
337	496	972
338	497	969
339	498	967
340	499	964
341	500	962
342	501	960
343	502	957
344	503	955
345	504	953
346	505	951
347	506	949
348	507	946
349	508	944
350	509	942
351	510	939
352	511	937
353	512	935
354	513	932
355	514	931
356	515	928
357	516	926
358	518	924
359	518	922
360	519	919
361	520	917
362	521	915
363	523	913
364	523	911
365	524	909
366	525	906
367	526	904
368	527	902
369	528	900
370	530	898
371	530	896
372	531	894
373	532	891
374	534	890
375	535	887
376	535	885
377	536	883
378	537	881
379	538	879
380	540	877
381	540	875
382	541	873
383	542	870
384	543	868
385	545	867
386	546	865
387	547	862
388	547	860
389	548	858
390	549	856
391	551	855
392	552	852
393	553	850
394	554	848
395	555	847
396	556	845
397	557	843
398	558	841
399	559	839
400	560	837
401	561	835
402	562	833
403	563	831
404	564	829
405	565	827
406	566	825
407	567	823
408	568	821
409	569	819
410	570	817
411	571	815
412	572	813
413	574	812
414	574	810
415	575	808
416	576	806
417	578	804
418	579	803
419	580	801
420	581	799
421	582	797
422	583	795
423	584	794
424	585	792
425	586	790
426	587	788
427	588	786
428	589	785
429	591	783
430	591	781
431	592	779
432	593	777
433	594	775
434	596	774
435	596	772
436	597	770
437	598	768
438	599	766
439	601	764
440	601	762
441	602	761
442	603	759
443	604	757
444	605	755
445	606	753
446	608	752
447	609	750
448	609	748
449	610	746
450	611	744
451	613	743
452	613	741
453	614	739
454	615	737
455	617	736
456	618	734
457	619	732
458	620	730
459	621	729
460	622	727
461	623	726
462	624	724
463	625	722
464	626	721
465	627	719
466	628	717
467	630	716
468	631	714
469	632	713
470	633	711
471	634	710
472	635	708
473	636	706
474	637	705
475	639	703
476	640	702
477	641	700
478	643	699
479	644	698
480	646	697
481	647	695
482	648	694
483	650	693
484	652	692
485	653	691
486	655	690
487	656	689
488	658	687
489	659	686
490	661	685
491	662	684
492	664	683
493	665	681
494	666	680
495	667	678
496	668	676
497	670	675
498	671	673
499	672	672
500	673	670
501	674	669
502	675	667
503	676	666
504	678	664
